,ID,LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,Y_default
1,1,20000.0,2.0,2.0,-1.0,-1.0,-2.0,-2.0,0.0,689.0,0.0,0.0,1
2,2,120000.0,-1.0,2.0,0.0,0.0,0.0,2.0,0.0,1000.0,1000.0,1000.0,1
3,3,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,1500.0,1000.0,1000.0,0
4,4,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2019.0,1200.0,1100.0,0
5,5,50000.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2000.0,36681.0,10000.0,9000.0,0
6,6,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,1815.0,657.0,1000.0,0
7,7,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,40000.0,38000.0,20239.0,0
8,8,100000.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,380.0,601.0,0.0,581.0,0
9,9,140000.0,0.0,0.0,2.0,0.0,0.0,0.0,3329.0,0.0,432.0,1000.0,0
10,10,20000.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,13007.0,0
11,11,200000.0,0.0,0.0,2.0,0.0,0.0,-1.0,2306.0,12.0,50.0,300.0,0
12,12,260000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,21818.0,9966.0,8583.0,22301.0,0
13,13,630000.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1000.0,6500.0,6500.0,6500.0,0
14,14,70000.0,1.0,2.0,2.0,0.0,0.0,2.0,3200.0,0.0,3000.0,3000.0,1
15,15,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0,0
16,16,50000.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1500.0,1100.0,1200.0,0
17,17,20000.0,0.0,0.0,2.0,2.0,2.0,2.0,3200.0,0.0,1500.0,0.0,1
18,18,320000.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,10358.0,10000.0,75940.0,20000.0,0
19,19,360000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
20,20,180000.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0
21,21,130000.0,0.0,0.0,0.0,0.0,0.0,-1.0,3000.0,1537.0,1000.0,2000.0,0
22,22,120000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,316.0,316.0,0.0,632.0,1
23,23,70000.0,2.0,0.0,0.0,2.0,2.0,2.0,2007.0,3582.0,0.0,3601.0,1
24,24,450000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,19428.0,1473.0,560.0,0.0,1
25,25,90000.0,0.0,0.0,0.0,-1.0,0.0,0.0,5757.0,0.0,5398.0,1200.0,0
26,26,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0,1426.0,1001.0,1432.0,0
27,27,60000.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0,1000.0,0.0,500.0,1
28,28,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1300.0,1000.0,1500.0,0
29,29,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3415.0,3421.0,2044.0,30430.0,0
30,30,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1000.0,1000.0,0
31,31,230000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17270.0,13281.0,15339.0,14307.0,0
32,32,50000.0,2.0,0.0,0.0,0.0,0.0,0.0,1718.0,1500.0,1000.0,1000.0,1
33,33,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,3511.0,3302.0,3204.0,0
34,34,500000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4152.0,22827.0,7521.0,71439.0,0
35,35,500000.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5006.0,31178.0,3180.0,0.0,0
